taxon,n_cohorts,n_sig_cohorts,pooled_lfc,pooled_se,ci_lb,ci_ub,tau2,Q,Q_pval,I2,p_value,heterogeneity,q_value
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale,9,3,-1.1334,0.4385,-1.9928,-0.274,0.393413,10.6142,0.2245,24.63,0.00974,negligible,0.052961
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,9,1,-1.7043,0.7295,-3.1341,-0.2745,0.430607,8.786,0.3607,8.95,0.019478,negligible,0.099682
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified,9,2,1.6518,0.7259,0.2291,3.0745,0.788408,9.6037,0.294,16.7,0.022871,negligible,0.110543
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,9,0,1.4543,0.6475,0.1852,2.7234,0.0,6.8314,0.5549,0.0,0.0247,negligible,0.112548
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,9,1,-0.992,0.4452,-1.8647,-0.1194,0.126503,8.5898,0.3781,6.87,0.025873,negligible,0.112548
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii,9,1,1.2656,0.5932,0.1029,2.4283,0.330765,8.9246,0.3487,10.36,0.032887,negligible,0.123597
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,9,2,-1.2832,0.6147,-2.4879,-0.0784,0.0,4.1925,0.8394,0.0,0.036833,negligible,0.123597
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,9,0,-1.784,0.8551,-3.4599,-0.1081,2.421417,12.8355,0.1176,37.67,0.036937,low,0.123597
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum,9,1,-0.5935,0.2778,-1.1379,-0.049,0.324779,17.2484,0.0276,53.62,0.032641,moderate,0.123597
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,9,1,-1.5444,0.7347,-2.9845,-0.1044,1.752149,12.7989,0.119,37.49,0.035551,low,0.123597
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila,9,0,1.444,0.6688,0.1333,2.7548,0.0,1.848,0.9853,0.0,0.030828,negligible,0.123597
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA,9,2,-1.693,0.8659,-3.3902,0.0043,3.075158,15.3274,0.0531,47.81,0.050574,low,0.162961
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,9,3,-1.8127,0.9506,-3.6758,0.0504,3.757918,15.2018,0.0553,47.37,0.056527,low,0.163215
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,9,1,-1.2217,0.6375,-2.4711,0.0277,1.220737,12.2861,0.1389,34.89,0.055299,low,0.163215
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,9,2,-0.9476,0.4955,-1.9188,0.0235,0.723245,12.3783,0.1351,35.37,0.05581,low,0.163215
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA,9,1,0.9513,0.5021,-0.0329,1.9355,0.753716,12.2872,0.1388,34.89,0.058157,low,0.163215
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,9,3,-1.2235,0.6517,-2.5008,0.0538,1.060775,11.2309,0.189,28.77,0.060455,low,0.164362
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,9,1,-1.1357,0.619,-2.3489,0.0776,0.0,6.7734,0.5613,0.0,0.066558,negligible,0.175471
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_6_1_45,9,1,1.0426,0.5866,-0.1071,2.1923,0.186641,8.5086,0.3854,5.98,0.075493,negligible,0.184177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,9,1,-0.735,0.4145,-1.5475,0.0775,0.0,6.9843,0.5383,0.0,0.076211,negligible,0.184177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_scindens,9,2,1.3958,0.7834,-0.1397,2.9314,3.000934,18.1133,0.0204,55.83,0.074806,moderate,0.184177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,9,1,-0.801,0.4888,-1.7591,0.157,0.0,2.9436,0.9378,0.0,0.101269,negligible,0.238119
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified,9,1,0.8936,0.5583,-0.2006,1.9878,0.481583,9.6701,0.289,17.27,0.109436,negligible,0.250551
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified,9,1,-0.3894,0.2529,-0.8851,0.1063,0.281424,17.1615,0.0285,53.38,0.123619,moderate,0.268871
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,9,2,-1.5801,1.0213,-3.5819,0.4218,5.673337,20.9348,0.0073,61.79,0.12185,moderate,0.268871
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,9,2,-0.8504,0.5707,-1.9689,0.2681,0.0,2.7804,0.9474,0.0,0.136157,negligible,0.288919
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,9,0,-1.0355,0.7232,-2.4531,0.382,0.951309,10.0388,0.2623,20.31,0.152199,negligible,0.315269
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_21_3,9,3,0.8658,0.6394,-0.3874,2.119,0.520306,9.3193,0.3161,14.16,0.17568,negligible,0.355446
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,9,0,-0.7252,0.542,-1.7875,0.3372,0.451911,9.7007,0.2867,17.53,0.180929,negligible,0.357746
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_unclassified,9,2,1.3066,1.0198,-0.6923,3.3055,4.712314,16.5274,0.0354,51.6,0.200136,moderate,0.382246
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,9,2,0.8894,0.6972,-0.4772,2.2559,1.633313,13.0927,0.1087,38.9,0.202107,low,0.382246
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus,9,2,1.1763,0.9476,-0.681,3.0337,3.813594,15.8257,0.0449,49.45,0.21447,low,0.396998
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,9,1,0.9082,0.747,-0.5559,2.3723,1.77268,12.4802,0.131,35.9,0.224055,low,0.398235
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis,9,1,-0.6664,0.5484,-1.7411,0.4084,0.0,5.859,0.663,0.0,0.224293,negligible,0.398235
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,9,1,1.4524,1.2215,-0.9417,3.8465,8.117929,21.0566,0.007,62.01,0.234429,moderate,0.407906
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum,9,0,0.8034,0.6916,-0.5521,2.1589,0.833662,9.9549,0.2682,19.64,0.245351,negligible,0.41854
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA,9,0,-0.8525,0.8644,-2.5467,0.8416,2.344518,12.4284,0.1331,35.63,0.323988,low,0.542057
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis,9,0,0.515,0.5412,-0.5458,1.5758,0.0,4.9715,0.7606,0.0,0.341302,negligible,0.56025
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum,9,0,0.4478,0.4864,-0.5055,1.4011,0.0,4.4828,0.8112,0.0,0.357248,negligible,0.565101
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,9,0,0.6937,0.7482,-0.7727,2.1601,0.760854,9.4277,0.3075,15.14,0.353839,negligible,0.565101
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,9,1,-0.482,0.5309,-1.5225,0.5586,0.25529,8.8865,0.352,9.98,0.363968,negligible,0.56545
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme,9,0,0.877,1.0119,-1.1064,2.8603,4.880018,17.3923,0.0263,54.0,0.386138,moderate,0.589369
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,9,1,0.9197,1.0873,-1.2114,3.0508,7.390012,27.0665,0.0007,70.44,0.397642,moderate,0.596463
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,9,0,-0.5604,0.6769,-1.8873,0.7664,0.0,5.2849,0.7267,0.0,0.407727,negligible,0.601225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,9,1,-0.7928,1.0484,-2.8478,1.2621,5.929047,20.8942,0.0074,61.71,0.449524,moderate,0.65181
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,9,0,0.3822,0.5516,-0.6989,1.4632,0.340025,9.132,0.3313,12.4,0.488401,negligible,0.696572
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,9,0,0.2797,0.4323,-0.5676,1.127,0.0,5.7476,0.6755,0.0,0.517588,negligible,0.714764
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8,9,1,-0.5742,0.8855,-2.3099,1.1614,3.719543,17.2132,0.028,53.52,0.516686,moderate,0.714764
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae,9,1,0.5114,0.8594,-1.1731,2.1959,2.663996,13.5598,0.094,41.0,0.551824,low,0.727404
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified,9,1,0.3971,0.6664,-0.9089,1.7032,0.0,7.5156,0.4822,0.0,0.551194,negligible,0.727404
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified,9,1,0.4308,0.6958,-0.9331,1.7946,0.0,5.5779,0.6944,0.0,0.535875,negligible,0.727404
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA,9,1,0.4975,0.8946,-1.2559,2.251,3.300954,15.071,0.0578,46.92,0.578103,low,0.741504
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,9,2,0.5479,0.989,-1.3905,2.4863,5.643026,24.1391,0.0022,66.86,0.579566,moderate,0.741504
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,9,1,-0.3738,0.7772,-1.8971,1.1496,1.507697,11.1024,0.196,27.94,0.630594,low,0.795097
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,9,1,0.4808,1.0773,-1.6308,2.5924,5.106378,16.1578,0.0402,50.49,0.655374,moderate,0.799718
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,9,0,0.3264,0.7462,-1.1362,1.7889,0.907461,9.781,0.2807,18.21,0.661836,negligible,0.799718
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,9,0,0.1389,0.3054,-0.4598,0.7375,0.0,4.5817,0.8012,0.0,0.649343,negligible,0.799718
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,9,1,-0.2286,0.5966,-1.398,0.9408,0.07086,8.179,0.4162,2.19,0.701586,negligible,0.836137
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_unclassified,9,1,-0.2021,0.5895,-1.3575,0.9533,0.0,6.4332,0.5988,0.0,0.731705,negligible,0.843388
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta,9,0,0.2435,0.7244,-1.1763,1.6634,0.970337,10.0938,0.2585,20.74,0.736753,negligible,0.843388
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA,9,0,0.1904,0.5426,-0.8731,1.2539,0.041977,8.1243,0.4214,1.53,0.725632,negligible,0.843388
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,9,2,0.3232,1.138,-1.9074,2.5538,7.004201,20.6649,0.0081,61.29,0.776415,moderate,0.877248
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,9,1,0.1603,0.6085,-1.0324,1.3529,0.055755,8.1337,0.4205,1.64,0.792267,negligible,0.883682
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis,9,1,0.2189,0.9981,-1.7375,2.1752,5.146594,19.3436,0.0131,58.64,0.826434,moderate,0.898747
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,9,1,-0.1343,0.5807,-1.2724,1.0038,0.0,6.8123,0.557,0.0,0.817109,negligible,0.898747
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,9,0,0.058,0.3284,-0.5857,0.7017,0.0,2.5191,0.9608,0.0,0.859816,negligible,0.923506
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA,9,1,0.034,0.6623,-1.2641,1.3321,0.0,7.2239,0.5127,0.0,0.959063,negligible,0.987234
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,9,0,0.0225,0.6134,-1.1798,1.2249,0.0,2.0559,0.9793,0.0,0.970678,negligible,0.987234
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,9,0,0.0098,0.5503,-1.0688,1.0885,0.317031,9.0371,0.3392,11.48,0.985738,negligible,0.987234
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,9,1,0.0144,0.8997,-1.7491,1.7779,3.239331,14.749,0.0642,45.76,0.987234,low,0.987234
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,9,2,0.0102,0.3948,-0.7636,0.7839,0.995254,35.9077,0.0,77.72,0.97948,high,0.987234
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified,9,0,0.0386,0.474,-0.8904,0.9675,0.691337,12.4857,0.1308,35.93,0.935176,low,0.987234
